CodeCrush;Pushkin St., 14, Moscow;2022/07/01;Sustainability;49;8;50;86;145;46
HackHive;Petrovsky Blvd., 7, St. Petersburg;2022/07/02;Education Technology;16;4;72;197;59;24
Build-a-thon;Lenin Ave., 32, Novosibirsk;2022/07/03;Healthcare;29;5;32;74;46;133
Hack-a-palooza;Tchaikovsky St., 18, Kazan;2022/07/04;Social Justice;31;18;67;162;99;128
CodeCon;Gorky St., 45, Yekaterinburg;2022/07/05;Cybersecurity;23;18;56;79;192;15
HackFest;Kirov St., 69, Nizhny Novgorod;2022/07/06;Internet of Things (IoT);35;16;25;80;122;148
HackTheFuture;Tolstoy St., 5, Samara;2022/07/07;Augmented Reality (AR) or Virtual Reality (VR);32;10;100;193;120;47
DevCon;Dostoevsky St., 12, Omsk;2022/07/09;Gaming;72;6;19;131;29;97
HackXtreme;Chekhov St., 22, Chelyabinsk;2022/07/10;Blockchain;65;6;36;93;147;45
CodeSprint;Gagarin St., 8, Rostov-on-Don;2022/07/12;Artificial Intelligence (AI);62;9;65;95;111;134
Hack-a-Code;Pushkin St., 21, Krasnodar;2022/07/13;Smart Home;45;10;92;180;159;152
HackNexus;Lomonosov St., 14, Ufa;2022/07/15;Finance and Banking;27;12;47;132;10;20
CodeCamp;Mayakovsky St., 6, Volgograd;2022/07/17;Agriculture;26;6;78;62;107;127
HackQuest;Lenin St., 3, Perm;2022/07/18;Transportation;46;5;26;90;114;143
DevelopFest;Turgenev St., 29, Voronezh;2022/07/19;Mobile Applications;52;10;99;113;51;94
CodeFrenzy;Sholokhov St., 10, Saratov;2022/07/20;Data Analysis;70;7;96;13;126;50
HackStorm;Gogol St., 16, Krasnoyarsk;2022/07/21;Machine Learning;23;16;98;76;73;81
DevHacks;Ostrovsky St., 2, Tyumen;2022/07/23;Robotics;15;4;7;71;183;167
CodeSlinger;Shukhov St., 11, Izhevsk;2022/07/24;Accessibility;16;12;83;108;80;32
HackTheWorld;Krylov St., 9, Irkutsk;2022/07/26;Energy Efficiency;23;11;81;9;199;145
HackersParadise;Griboedov St., 23, Barnaul;2022/07/27;Disaster Relief;30;13;10;160;29;42
CodeChaos;Bulgakov St., 8, Vladivostok;2022/07/29;Wearable Technology;34;13;17;151;21;66
HackFusion;Kuprin St., 17, Yaroslavl;2022/07/30;Food and Nutrition;26;10;40;164;179;86
Build2Win;Tolstoy St., 34, Tomsk;2022/07/31;Civic Engagement;14;3;35;150;120;6
CodeOn;Gorky St., 56, Khabarovsk;2022/08/02;Mental Health;26;17;104;36;80;167
HackMeister;Leskov St., 27, Orenburg;2022/08/03;Open Source Development;46;11;23;81;100;64
DevJam;Mayakovsky St., 12, Novokuznetsk;2022/08/04;Sports and Fitness;24;8;103;130;67;62
CodeJolt;Pushkin St., 19, Penza;2023/01/14;Tourism;21;3;24;149;37;62
HackCity;Dostoevsky St., 8, Ryazan;2023/01/23;Music and Audio;53;15;9;103;82;87
HackersUnite;Shukhov St., 15, Tula;2023/02/02;Business Solutions;16;3;33;79;105;78
CodeFiesta;Gagarin St., 3, Kemerovo;2023/02/12;3D Printing;20;12;14;20;119;180
HackathonX;Krylov St., 7, Lipetsk;2023/02/21;E-commerce;40;14;52;16;3;156
DevConX;Lermontov St., 31, Astrakhan;2023/03/03;Fashion and Beauty;30;10;8;137;109;69
CodeFury;Chekhov St., 16, Ulyanovsk;2023/03/13;Humanitarian Aid;24;13;61;6;170;48
HackNation;Ostrovsky St., 4, Kurgan;2023/03/22;Space Exploration;16;3;49;160;103;147
HackathonElite;Gogol St., 21, Abakan;2023/04/01;Natural Language Processing (NLP);45;8;76;141;16;198
CodeHacker;Kuprin St., 11, Belgorod;2023/04/11;Environmental Protection;58;11;39;18;30;21
HackIgnite;Tchaikovsky St., 14, Bratsk;2023/04/21;Art and Design;29;9;43;93;32;139
DevCrush;Leskov St., 22, Kostroma;2023/05/01;Home Automation;23;9;88;174;68;131
CodeBash;Bulgakov St., 6, Nizhnevartovsk;2023/05/10;Social Media;44;15;59;140;128;137
HackItUp;Shukhov St., 13, Novorossiysk;2023/05/20;Cyberbullying Prevention;37;4;48;175;152;15
HackersAssemble;Griboedov St., 19, Chita;2023/05/30;Gaming for Education;60;15;38;110;42;106
CodeGenius;Mayakovsky St., 10, Komsomolsk-on-Amur;2023/06/09;Smart City Solutions;43;14;84;18;20;21
HackFiesta;Pushkin St., 17, Taganrog;2023/06/19;Biotechnology;34;11;22;30;70;82
DevFusion;Dostoevsky St., 6, Smolensk;2023/06/28;Disaster Preparedness and Response;35;14;31;6;126;55
CodePalooza;Gorky St., 38, Stavropol;2023/07/08;Ethical AI;57;19;64;25;23;130
HackMaster;Krylov St., 5, Syktyvkar;2023/07/18;Elderly Care and Assistance;58;8;28;105;38;142
HackathonHQ;Lermontov St., 27, Balakovo;2023/07/27;Mental Health Technology;35;13;101;3;16;170
CodeWar;Turgenev St., 14, Vologda;2023/08/06;Personal Finance Management;39;11;16;122;190;92
Hack-a-PaloozaX;Gagarin St., 17, Kostanay;2023/08/16;Renewable Energy and Sustainability in Agriculture;70;7;77;154;103;81
DevFestX;Ostrovsky St., 1, Gorno-Altaysk;2023/08/25;;46;18;75;172;90;137
CodeFusion;Chekhov St., 18, Kirovograd;2023/09/04;;59;17;11;134;143;65
Hack-a-CodeX;Gogol St., 11, Magnitogorsk;2023/09/14;;16;20;68;19;119;89
HackathonMania;Kuprin St., 9, Murmansk;2023/09/23;;48;16;54;93;126;151
CodeStorm;Tchaikovsky St., 12, Novotroitsk;2023/10/03;;55;15;58;132;113;142
HackFrenzy;Leskov St., 15, Petropavlovsk-Kamchatsky;2023/10/13;;23;10;51;91;88;63
DevXtreme;Bulgakov St., 4, Pskov;2023/10/22;;22;12;12;99;37;59
CodeIgnite;Shukhov St., 9, Saransk;2023/11/01;;63;12;82;24;71;74
Hack-a-thonX;Griboedov St., 17, Severodvinsk;2023/11/11;;21;3;41;167;74;55
HackathonPro;Mayakovsky St., 8, Sochi;2023/11/20;;57;18;13;149;115;108
CodeFestX;Pushkin St., 15, Solikamsk;2023/11/30;;54;11;94;183;51;107
HackersAvenue;Dostoevsky St., 4, Sterlitamak;2023/12/10;;23;15;71;50;36;117
DevNation;Gorky St., 28, Surgut;2023/12/19;;18;16;91;25;36;159
Code-a-Palooza;Krylov St., 3, Taganrog;2023/12/29;;57;15;20;195;188;138
HackFiestaX;Lermontov St., 23, Tambov;2024/01/08;;69;17;15;9;6;128
HackathonU;Turgenev St., 9, Tobolsk;2024/01/18;;30;12;85;157;99;25
CodeMassacre;Gagarin St., 12, Tver;2024/01/28;;35;14;95;8;174;93
Hack-a-CodeElite;Ostrovsky St., 3, Ukhta;2024/02/07;;66;13;30;42;177;111
DevFiesta;Chekhov St., 14, Ulan-Ude;2024/02/17;;34;11;57;137;25;98
Code-a-PaloozaX;Gogol St., 8, Yakutsk;2024/02/26;;19;6;74;194;96;160
HackChallenge;10 Red Square, Moscow;2024/03/07;;16;9;21;17;165;44
HackathonEliteX;25 Pushkin Street, St. Petersburg;2024/03/17;;66;17;93;38;102;61
Code-a-thon;14 Lenin Avenue, Novosibirsk;2024/03/26;;14;20;62;170;147;61
HackGenius;7 Gorky Street, Yekaterinburg;2024/04/05;;44;10;86;17;114;148
Dev-a-thon;31 Tverskaya Street, Moscow;2024/04/15;;59;5;53;175;83;5
Code-a-thonX;42 Kirov Street, Vladivostok;2024/04/25;;59;3;102;52;63;42
HackersUnited;8 Chekhov Street, Samara;2024/05/05;;16;10;44;72;79;144
HackathonNation;19 Leningradskaya Street, Nizhny Novgorod;2024/05/15;;34;19;70;61;95;27
Code-a-thonElite;56 Gagarin Avenue, Kazan;2024/05/24;;62;12;37;37;102;119
HackathonFiesta;3 Kalinin Square, Krasnodar;2024/06/03;;38;12;73;162;7;117
Dev-a-thonX;11 Revolution Street, Perm;2024/06/13;;29;13;6;32;130;120
Code-a-thonMania;22 Mira Street, Rostov-on-Don;2024/06/22;;62;15;42;142;88;166
HackathonHQX;17 Komsomolskaya Street, Novosibirsk;2024/07/02;;12;20;55;130;49;195
HackathonXtreme;1 Oktyabrskaya Street, Ufa;2024/07/12;;19;9;46;75;175;53
Dev-a-thonElite;9 Kirovskaya Street, Yekaterinburg;2024/07/21;;52;9;105;176;200;174
Code-a-PaloozaElite;28 Lenin Street, Volgograd;2024/07/31;;57;3;89;131;171;50
HackathonProX;6 Gogol Street, St. Petersburg;2024/08/10;;16;3;87;122;125;32
Code-a-PaloozaNation;63 Lenin Avenue, Krasnoyarsk;2024/08/20;;46;16;63;13;80;82
Dev-a-thonMania;37 Gorky Street, Voronezh;2024/08/29;;19;3;45;92;48;19
Code-a-thonFiesta;48 Tverskaya Street, Moscow;2024/09/08;;48;11;27;163;116;21
HackathonAssemble;12 Pushkin Street, Irkutsk;2024/09/18;;23;15;69;83;142;111
Hack-a-thonEliteX;24 Lomonosov Street, Saratov;2024/09/27;;20;15;60;56;143;154
Code-a-thonHQ;7 Oktyabrskaya Street, Khabarovsk;2024/10/07;;67;6;97;51;33;151
Dev-a-thonNation;50 Kirov Street, Chelyabinsk;2024/10/17;;39;15;79;168;109;60
Code-a-thonPro;16 Lenin Avenue, Tyumen;2024/10/26;;44;11;34;89;19;68
HackathonGenius;29 Gagarin Avenue, Omsk;2024/11/05;;26;13;18;77;115;99
Code-a-thonXtreme;8 Chekhov Street, Ulyanovsk;2024/11/15;;14;4;90;22;58;56
HackathonFrenzy;21 Leningradskaya Street, Yaroslavl;2024/11/24;;15;14;80;147;139;71
Dev-a-thonHQ;58 Gorky Street, Kemerovo;2024/12/04;;35;4;29;186;152;177
Code-a-thonEliteX;4 Kalinin Square, Saransk;2024/12/14;;19;14;66;27;48;17
